Resuming — 5 days already cached.
Condition L1 | model=gpt-5-nano | 183 days to evaluate (5 cached)
  [   1/183] 2025-08-06 ... up  conf=0.66
  [   2/183] 2025-08-07 ... up  conf=0.72
  [   3/183] 2025-08-08 ... up  conf=0.62
  [   4/183] 2025-08-11 ... up  conf=0.65
  [   5/183] 2025-08-12 ... up  conf=0.66
  [   6/183] 2025-08-13 ... up  conf=0.68
  [   7/183] 2025-08-14 ... up  conf=0.63
  [   8/183] 2025-08-15 ... up  conf=0.65
  [   9/183] 2025-08-18 ... up  conf=0.58
  [  10/183] 2025-08-19 ... down  conf=0.60
  [  11/183] 2025-08-20 ... down  conf=0.63
  [  12/183] 2025-08-21 ... down  conf=0.62
  [  13/183] 2025-08-22 ... up  conf=0.58
  [  14/183] 2025-08-25 ... up  conf=0.58
  [  15/183] 2025-08-26 ... up  conf=0.66
  [  16/183] 2025-08-27 ... up  conf=0.72
  [  17/183] 2025-08-28 ... up  conf=0.72
  [  18/183] 2025-08-29 ... up  conf=0.62
  [  19/183] 2025-09-02 ... up  conf=0.60
  [  20/183] 2025-09-03 ... up  conf=0.66
  [  21/183] 2025-09-04 ... up  conf=0.68
  [  22/183] 2025-09-05 ... up  conf=0.72
  [  23/183] 2025-09-08 ... up  conf=0.61
  [  24/183] 2025-09-09 ... up  conf=0.56
  [  25/183] 2025-09-10 ... down  conf=0.62
  [  26/183] 2025-09-11 ... down  conf=0.57
  [  27/183] 2025-09-12 ... up  conf=0.62
  [  28/183] 2025-09-15 ... up  conf=0.62
  [  29/183] 2025-09-16 ... up  conf=0.70
  [  30/183] 2025-09-17 ... up  conf=0.65
  [  31/183] 2025-09-18 ... up  conf=0.60
  [  32/183] 2025-09-19 ... up  conf=0.65
  [  33/183] 2025-09-22 ... up  conf=0.72
  [  34/183] 2025-09-23 ... up  conf=0.65
  [  35/183] 2025-09-24 ... up  conf=0.62
  [  36/183] 2025-09-25 ... up  conf=0.70
  [  37/183] 2025-09-26 ... up  conf=0.65
  [  38/183] 2025-09-29 ... up  conf=0.66
  [  39/183] 2025-09-30 ... down  conf=0.57
  [  40/183] 2025-10-01 ... up  conf=0.68
  [  41/183] 2025-10-02 ... up  conf=0.68
  [  42/183] 2025-10-03 ... up  conf=0.68
  [  43/183] 2025-10-06 ... up  conf=0.64
  [  44/183] 2025-10-07 ... up  conf=0.58
  [  45/183] 2025-10-08 ... up  conf=0.73
  [  46/183] 2025-10-09 ... down  conf=0.62
  [  47/183] 2025-10-10 ... up  conf=0.63
  [  48/183] 2025-10-13 ... up  conf=0.57
  [  49/183] 2025-10-14 ... down  conf=0.64
  [  50/183] 2025-10-15 ... down  conf=0.60
  [  51/183] 2025-10-16 ... down  conf=0.62
  [  52/183] 2025-10-17 ... down  conf=0.58
  [  53/183] 2025-10-20 ... up  conf=0.72
  [  54/183] 2025-10-21 ... up  conf=0.65
  [  55/183] 2025-10-22 ... up  conf=0.63
  [  56/183] 2025-10-23 ... up  conf=0.68
  [  57/183] 2025-10-24 ... up  conf=0.70
  [  58/183] 2025-10-27 ... up  conf=0.78
  [  59/183] 2025-10-28 ... up  conf=0.72
  [  60/183] 2025-10-29 ... up  conf=0.72
  [  61/183] 2025-10-30 ... up  conf=0.75
  [  62/183] 2025-10-31 ... up  conf=0.65
  [  63/183] 2025-11-03 ... down  conf=0.58
  [  64/183] 2025-11-04 ... up  conf=0.58
  [  65/183] 2025-11-05 ... up  conf=0.60
  [  66/183] 2025-11-06 ... up  conf=0.60
  [  67/183] 2025-11-07 ... down  conf=0.60
  [  68/183] 2025-11-10 ... up  conf=0.63
  [  69/183] 2025-11-11 ... up  conf=0.68
  [  70/183] 2025-11-12 ... up  conf=0.62
  [  71/183] 2025-11-13 ... up  conf=0.62
  [  72/183] 2025-11-14 ... down  conf=0.58
  [  73/183] 2025-11-17 ... up  conf=0.58
  [  74/183] 2025-11-18 ... down  conf=0.60
  [  75/183] 2025-11-19 ... down  conf=0.58
  [  76/183] 2025-11-20 ... down  conf=0.60
  [  77/183] 2025-11-21 ... up  conf=0.62
  [  78/183] 2025-11-24 ... up  conf=0.68
  [  79/183] 2025-11-25 ... up  conf=0.65
  [  80/183] 2025-11-26 ... up  conf=0.66
  [  81/183] 2025-11-28 ... up  conf=0.72
  [  82/183] 2025-12-01 ... up  conf=0.72
  [  83/183] 2025-12-02 ... up  conf=0.74
  [  84/183] 2025-12-03 ... up  conf=0.60
  [  85/183] 2025-12-04 ... up  conf=0.58
  [  86/183] 2025-12-05 ... down  conf=0.62
  [  87/183] 2025-12-08 ... up  conf=0.56
  [  88/183] 2025-12-09 ... down  conf=0.62
  [  89/183] 2025-12-10 ... up  conf=0.65
  [  90/183] 2025-12-11 ... up  conf=0.58
  [  91/183] 2025-12-12 ... up  conf=0.62
  [  92/183] 2025-12-15 ... down  conf=0.65
  [  93/183] 2025-12-16 ... down  conf=0.58
  [  94/183] 2025-12-17 ... down  conf=0.70
  [  95/183] 2025-12-18 ... down  conf=0.58
  [  96/183] 2025-12-19 ... up  conf=0.58
  [  97/183] 2025-12-22 ... down  conf=0.66
  [  98/183] 2025-12-23 ... down  conf=0.60
  [  99/183] 2025-12-24 ... up  conf=0.58
  [ 100/183] 2025-12-26 ... down  conf=0.58
  [ 101/183] 2025-12-29 ... down  conf=0.57
  [ 102/183] 2025-12-30 ... down  conf=0.58
  [ 103/183] 2025-12-31 ... down  conf=0.60
  [ 104/183] 2026-01-02 ... down  conf=0.63
  [ 105/183] 2026-01-05 ... down  conf=0.65
  [ 106/183] 2026-01-06 ... down  conf=0.70
  [ 107/183] 2026-01-07 ... down  conf=0.72
  [ 108/183] 2026-01-08 ... down  conf=0.72
  [ 109/183] 2026-01-09 ... down  conf=0.65
  [ 110/183] 2026-01-12 ... down  conf=0.62
  [ 111/183] 2026-01-13 ... up  conf=0.58
  [ 112/183] 2026-01-14 ... down  conf=0.62
  [ 113/183] 2026-01-15 ... down  conf=0.70
  [ 114/183] 2026-01-16 ... down  conf=0.66
  [ 115/183] 2026-01-20 ... down  conf=0.70
  [ 116/183] 2026-01-21 ... down  conf=0.62
  [ 117/183] 2026-01-22 ... up  conf=0.58
  [ 118/183] 2026-01-23 ... down  conf=0.68
  [ 119/183] 2026-01-26 ... up  conf=0.60
  [ 120/183] 2026-01-27 ... up  conf=0.66
  [ 121/183] 2026-01-28 ... down  conf=0.60
  [ 122/183] 2026-01-29 ... up  conf=0.62
  [ 123/183] 2026-01-30 ... 
    (attempt 1 failed: invalid direction — retrying)
up  conf=0.62
  [ 124/183] 2026-02-02 ... up  conf=0.70
  [ 125/183] 2026-02-03 ... up  conf=0.62
  [ 126/183] 2026-02-04 ... up  conf=0.68
  [ 127/183] 2026-02-05 ... up  conf=0.70
  [ 128/183] 2026-02-06 ... up  conf=0.72
  [ 129/183] 2026-02-09 ... up  conf=0.58
  [ 130/183] 2026-02-10 ... up  conf=0.62
  [ 131/183] 2026-02-11 ... up  conf=0.62
